#FILM_CONVERTER_CALIBRATION_FILE_V1.0_BY_SNUH_YKPARK
$BEGIN_HEADER
CALIBDATE	20260325
FILM_MODEL	EBT4
FILM_INFO	LOT11042906
SCANNER	EPSON 12000XL
ORIENTATION	T to left
FADING(HR)	48h
INSTITUTION	UTSW
MACHINE	6MV Elekta EVO
PHYSICIST	
DEFAULTMODE	GB
$END_HEADER	
$BEGIN_DATA	
INDEX	DOSE	MEAN_R	MEAN_G	MEAN_B	SD_R	SD_G	SD_B	
MAN	0	43181	41572.7	31399.2	203.7	201.2	188.7
MAN	50	38883.9	39018.9	30646.3	149.3	154.9	146.8
MAN	100	35630.2	36880.8	30011	833.4	924.5	812.6
MAN	150	33191.2	35164	29593.9	166.1	176.2	163.9
MAN	200	30981.7	33446.7	28946.7	138.1	151.5	139.4
MAN	250	29101.1	31922.9	28427.9	140.9	155.4	144.7
MAN	300	28696.8	31772.8	28910.6	157.7	173.1	167.5
MAN	400	25707.2	29001.9	27670.9	128.6	137.6	124.7
MAN	600	21837.9	25174.3	26028.1	155.1	175	174.5
MAN	800	19014.5	22130.5	24497.9	118.8	133.2	131.6
MAN	1000	16927.2	19673.4	23181.2	113.9	130.7	137.2
$END_DATA
